input_path,sha256,role,size_bytes
analysis/sv_diameter_stage2_scientific_v1/d128_d235_source_axial_audit/provenance.json,08133e2c0e344ae7d1233ca90ddf79e5adf9326738bb0f22e00af29a76901006,"inherited validation, definitions or frozen implementation",9905
analysis/sv_diameter_stage2_scientific_v1/d128_d235_source_axial_audit/validation.json,a5cc64244624c1bb36941a9c9c5d349b874d4a7e32b8c3f46d1e9eb7c64e8eeb,"inherited validation, definitions or frozen implementation",1887
analysis/sv_diameter_stage2_scientific_v1/d500_source_axial_audit/provenance.json,746eace1d4dee322f50a81a1f9760c6726e270db7019d9f1d1e6004bbc7e3fb3,"inherited validation, definitions or frozen implementation",2121
analysis/sv_diameter_stage2_scientific_v1/d500_source_axial_audit/validation.json,9b1b22cf6a7ffb131c01eaea4d3d7f2e64bff511cc2b23cf5fb04f820b930e9c,"inherited validation, definitions or frozen implementation",1820
src/svrecttail/geometry.py,b480bc0a909f3b7f9b0946c7d6a6cb0a6d1dc96a6dccfbc7bad62a5ffc7b1f3a,"inherited validation, definitions or frozen implementation",6120
src/svrecttail/raw_sv_quantification.py,b514b44d43e9b9d48c5cd1b1d1dcb22337092461a304c6dda329193aa62cddf4,"inherited validation, definitions or frozen implementation",4619
analysis/sv_diameter_stage2_scientific_v1/d500_source_axial_local_array_audit.py,12489b3f6b97e21dcb926d46c9d551ee8aa3470029ad1b4d44a38277f699fb2b,"inherited validation, definitions or frozen implementation",16372
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow01_000_099.zip,e8a8a460e05bac82eb6a37ded5a09e53654c6a6fe43132513fba802374080308,retained formal D128 release package; direct raw-SV integration,435917718
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow01_100_199.zip,26e141495d1bfe3f8fe408d36dd2e27c3ea11ce08944a36d086f451e1a6b7164,retained formal D128 release package; direct raw-SV integration,435260738
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow01_200_299.zip,b7a8319a7474201531fc05b01da98c67a1ad95e21f14c7802fe7e297032df13e,retained formal D128 release package; direct raw-SV integration,435164102
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow01_300_399.zip,d4ae06c7b7d5d3caf0307bc80cdd53ac0fa57f75d9faed1d2da789d4bfaaddd2,retained formal D128 release package; direct raw-SV integration,435218686
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow01_400_499.zip,d9035c98c251f51956b36318391ab3871bf2322cdf93ff161c9506fa8e2d80d0,retained formal D128 release package; direct raw-SV integration,435829745
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow03_000_099.zip,d66ff635fa6a821fe71f460651f7cde15012577131e7015069fff4f98e8d5cc2,retained formal D128 release package; direct raw-SV integration,438595724
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow03_100_199.zip,ce76cd77680faa38690d6b257afdada10f8c73a532683ad0e096e13885690741,retained formal D128 release package; direct raw-SV integration,435137016
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow03_200_299.zip,b80d8f854062c1ae68ed5fab8847f60581c44fb6d578c42b332985acff5178af,retained formal D128 release package; direct raw-SV integration,436583974
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow03_300_399.zip,6ff2c104a82a1c9ff72f61d8e6d216dc25f7df5e5d65ec66f718bac2c0f9bb78,retained formal D128 release package; direct raw-SV integration,435024248
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow03_400_499.zip,eb02f77e53803ba0edf9ea5c6928536f3e954571d0b6308b5885d6d9a6cefb3a,retained formal D128 release package; direct raw-SV integration,441734278
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow05_000_099.zip,69f222b943f3f5b7e0155178317952b7e0e1a2e43fe8dea52ecb48cd113fdfc5,retained formal D128 release package; direct raw-SV integration,438030266
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow05_100_199.zip,aec6528af71b92a3ed4ebec9a60500a3edbdd6182a6d950e36750aa16dfe8507,retained formal D128 release package; direct raw-SV integration,435237136
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow05_200_299.zip,f30e9ce409b2bd3ad69bc3f3762c38fdee29722f9d92f96aec05496b6e45d3a9,retained formal D128 release package; direct raw-SV integration,435326661
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow05_300_399.zip,5773bc34f1fa46c59f7dd1cb046e9869dfbc27e81c778550364a17b0ca3967f7,retained formal D128 release package; direct raw-SV integration,435170872
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow05_400_499.zip,745fee1ac7f4585b5d38476cd15d3159ddc490cbbea37b035b5ac8c8441f73d2,retained formal D128 release package; direct raw-SV integration,435643147
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow07_000_099.zip,9f055a08186204e864c64dcc45fd591ba597665310e5705ac0ca12c865019de0,retained formal D128 release package; direct raw-SV integration,435468881
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow07_100_199.zip,3f7b1f905da719b3ba05892090a2a9a00d1dbd0166b4ab46889773672db5f258,retained formal D128 release package; direct raw-SV integration,434924617
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow07_200_299.zip,e83dc80c3cf57c16719b12f82ef4c6ba21ca99fe884708cceb4dc04f8197e03e,retained formal D128 release package; direct raw-SV integration,434209160
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow07_300_399.zip,305a82d898427fbb0b7ac86a02d6d5d1047a6bf8a2b2f3b194a740a9c39adc24,retained formal D128 release package; direct raw-SV integration,436360897
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow07_400_499.zip,4708274c9c45f4ec165cc100344f16a0476049446a93b0c3d1d0fff8d961930a,retained formal D128 release package; direct raw-SV integration,436624016
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow10_000_099.zip,12b80fcdc0589e27ba6fc9aad1419cdae4c6c1b79e45c2b3818b8cf99b12cc32,retained formal D128 release package; direct raw-SV integration,435919235
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow10_100_199.zip,f01f80f1bbb39ae0e7a4ff425af70a164a75f8d4e8f12391233510f8e676f1a6,retained formal D128 release package; direct raw-SV integration,435254217
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow10_200_299.zip,7f56d3703af4740f6770376aa5afc53110e9512c37b70f09135eda19bf4ec688,retained formal D128 release package; direct raw-SV integration,435111228
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow10_300_399.zip,18fb35408e8a2f670190b9d0f6813883e9572b2a4210c4ea9706be099f0199e5,retained formal D128 release package; direct raw-SV integration,435215907
C:/Users/zby/Desktop/2026血管三维重建项目/算法差异分析/_worktrees/OCTA-/sv-diameter-formal-quant-v1/outputs/formal_quant_v1/d128_packages/formal_sv_d128_v21_full2500_run001_flow10_400_499.zip,978c032614b1cb78d24204181efcf4023fa35db5039f7c8cecff56ccd7144327,retained formal D128 release package; direct raw-SV integration,438015639
analysis/sv_diameter_stage2_scientific_v1/all_volume_metrics_with_d500_extension.csv,6dc475d846e830cd4b546bb11bc87bad9383058afcd4861213964349d7528ac0,Stage 2 formal volume medians and coverage,14451
